Age,Department,Faculty,Gender,How did you become aware of these health promotion activities? (Select all that apply) [Email_or_newsletter],Religion,What was the nature of the health promotion activities you participated in or received?,Which of the following areas were emphasized in the health promotion activities you participated in? (Select all that apply)   [Balanced_diet and nutrition],Which types of health promotion activities do you think are most beneficial for undergraduate students? (Select up to three) [Policies],Are you aware of healthy lifes_Ord,Are you aware of safe sexual p_Ord,Are you aware of the World Hea_Ord,Are you aware of the health ri_Ord,Are you aware of the importanc_Ord,Are you aware of the recommend_Ord,Are you aware of various healt_Ord,Are you aware of what healthy _Ord,Are you aware that a Balanced__Ord,Are you aware that breakfast i_Ord,Can you say that the Universit_Ord,Can you say that the variety o_Ord,Do you Know where to access in_Ord,Do you avoid behaviours harmfu_Ord,Do you often refrain from usin_Ord,Do you reside on campus?_Ord,Do you think regular Physical__Ord,Do you usually read nutrition _Ord,How Often do you abstain from _Ord,How Often do you avoid consumi_Ord,How Often do you avoid recreat_Ord,How Often do you avoid using a_Ord,How Often do you consume a Bal_Ord,How Often do you consume sugar_Ord,How Often do you engage in at _Ord,How Often do you engage in phy_Ord,How Often do you follow a plan_Ord,How Often do you go for Medica_Ord,How Often do you skip breakfas_Ord,How Often do you undergo STI s_Ord,Level_Num,"On average, how Often do you t_Ord",True_Target,Predicted,Predicted_Probability
>25years,Medical_radiography,Faculty_of_health_sciences,Male,Peer_recommendations,Christianity,Educational_programs,Physical_activity,Campaigns,2,2,0,2,0,0,2,2,0,0,1,1,0,0,2,0,2,0,3,0,2,0,1,1,1,2,1,1,1,0,500,0,0,1,0.533753924313019
18-25years,Physiology,Faculty_of_basic_medical_sciences,Female,Campaigns,Others,Medical_and_preventive_programs,Sexual_health,Seminars,2,2,2,2,2,2,1,2,2,2,1,1,2,2,0,0,2,1,2,0,2,0,2,1,1,1,1,0,2,0,300,1,1,0,0.4119122828853613
18-25years,Dentistry,Faculty_of_dentistry,Male,Campaigns,Christianity,Educational_programs,Physical_activity,Lectures,2,1,0,1,1,0,0,2,2,0,1,0,0,2,0,2,1,1,1,1,1,0,2,1,2,3,3,1,2,0,500,0,1,0,0.40567241626368683
18-25years,Physiology,Faculty_of_basic_medical_sciences,Male,Peer_recommendations,Christianity,Educational_programs,Balanced_diet,Counselling_programs,1,2,0,2,0,2,0,2,2,2,1,1,1,3,1,0,2,2,1,0,2,0,1,1,3,2,1,2,2,2,300,1,1,0,0.3008090792528017
15-18years,Medical_radiography,Faculty_of_health_sciences,Female,"Posters,_billboards,_flyers",Christianity,Behavioral_change_programs,Psychoactive_substance_use,Workshops,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,2,0,1,0,3,0,1,2,2,1,1,3,1,1,500,1,1,0,0.3925082538004658
18-25years,Medical_radiography,Faculty_of_health_sciences,Male,Social_media,Christianity,Medical_and_preventive_programs,Balanced_diet,Seminars,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,0,2,1,1,1,2,0,2,2,1,2,1,1,1,1,200,1,0,1,0.5045474003673096
18-25years,Medicine,Faculty_of_clinical_sciences,Female,Campaigns,Christianity,Medical_and_preventive_programs,Sexual_health,Seminars,2,2,0,2,2,0,1,2,2,2,0,1,1,3,2,2,2,3,2,0,3,0,1,2,3,1,0,0,1,0,500,3,1,0,0.4862997398435153
18-25years,Medical_radiography,Faculty_of_health_sciences,Female,"Posters,_billboards,_flyers",Christianity,Educational_programs,Sexual_health,Seminars,2,0,0,2,0,2,1,2,2,2,1,2,1,3,2,0,2,1,3,1,3,0,2,1,2,2,1,1,1,0,400,1,0,1,0.599997425675086
18-25years,Medicine,Faculty_of_clinical_sciences,Male,Campaigns,Christianity,Medical_and_preventive_programs,Sexual_health,Seminars,2,2,2,2,2,2,2,2,2,2,0,0,1,3,2,2,2,1,2,1,2,0,1,1,1,1,0,1,1,0,400,1,1,0,0.396138313642502
18-25years,Medical_radiography,Faculty_of_health_sciences,Male,"Posters,_billboards,_flyers",Christianity,Medical_and_preventive_programs,Physical_activity,Workshops,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,0,3,1,0,1,2,1,3,1,500,1,1,0,0.465437438694923
